DAY,CORRECTNESS,NUM_RESULT_OWNERS,NUM_QUESTIONS
2018-04-30,3,8218,28862
2018-06-15,2,4307,28546
2018-09-30,2,3523,25983
2018-06-09,2,1075,4853
2018-05-17,1,14469,152880
2018-03-01,2,17958,135252
2018-09-08,2,41183,190077
2018-01-09,2,20349,188271
2018-06-19,2,6002,40702
2018-04-26,2,13898,79133
2018-10-27,2,23946,72886
2018-01-23,1,18622,168242
2018-08-23,3,22781,82917
2018-08-13,3,8352,29285
2018-11-16,3,18036,59033
2018-09-27,2,64103,407941
2018-11-03,2,22338,67933
2018-02-15,2,17132,131901
2018-01-05,2,10928,106438
2018-09-30,3,2166,10243
2018-07-06,2,2145,12663
2018-11-11,2,2139,11869
2018-05-04,2,13834,82110
2018-02-01,2,20107,169263
2018-06-14,1,6635,71718
2018-05-18,3,5393,19470
2018-03-22,2,16599,127874
2018-05-11,3,5834,20134
2018-06-28,2,2912,17274
2018-06-06,2,10518,70406
2018-03-22,1,16453,145409
2018-05-01,1,15410,132488
2018-06-11,3,4514,17823
2018-06-01,3,3435,12905
2018-06-24,2,1180,5334
2018-11-18,3,1082,3336
2018-05-25,3,4289,13234
2018-06-22,2,2420,13077
2018-07-20,3,869,2697
2018-07-12,3,1433,5151
2018-10-20,1,2209,18219
2018-04-10,2,18070,132582
2018-01-29,2,19613,169276
2018-02-03,1,1278,11782
2018-09-13,3,33862,123158
2018-05-27,1,1203,11441
2018-09-21,2,69023,452531
2018-04-05,1,12467,111891
2018-05-17,3,7147,27828
2018-09-24,1,66822,559965
2018-10-27,3,14339,40298
2018-11-09,1,223802,828368
2018-10-02,1,60906,499206
2018-07-19,2,2266,10882
2018-08-10,1,16722,148837
2018-02-14,1,14984,128733
2018-08-30,2,63324,440255
2018-11-15,3,18516,60538
2018-05-29,1,12832,113860
2018-05-23,2,13314,75228
2018-05-31,3,4760,17700
2018-04-18,1,15605,128964
2018-07-04,3,747,3092
2018-02-17,2,1048,7013
2018-07-31,3,1455,5678
2018-06-23,3,557,2135
2018-07-19,3,1177,3809
2018-02-25,2,1658,11842
2018-07-24,2,2451,14585
2018-03-24,1,1047,9958
2018-04-29,2,1335,6457
2018-11-17,3,800,2529
2018-06-16,3,467,1691
2018-09-10,3,316650,1320237
2018-03-30,1,4274,37616
2018-10-26,3,92733,229177
2018-04-09,1,20243,174807
2018-09-05,1,71882,620340
2018-01-22,1,19141,179634
2018-11-28,2,45747,261472
2018-03-27,1,13848,127200
2018-06-12,2,8727,58590
2018-08-29,1,58332,503293
2018-10-24,3,138250,333134
2018-09-17,3,31211,112835
2018-09-11,1,71701,597705
2018-10-11,3,23246,85420
2018-03-15,1,16426,144289
2018-11-15,1,43182,361850
2018-05-07,1,16447,148227
2018-08-27,1,52489,458492
2018-01-16,2,16047,138000
2018-07-02,1,3838,34418
2018-04-12,3,8331,30793
2018-05-28,1,2141,18479
2018-08-09,1,15670,140517
2018-01-03,2,11896,100973
2018-03-18,2,1514,11225
2018-08-20,3,17413,64359
2018-08-28,2,56511,402520
2018-01-04,2,11409,106659
2018-04-20,2,13312,73395
2018-05-24,2,12521,68070
2018-06-18,2,6060,40239
2018-04-17,1,16277,145364
2018-04-25,2,13967,78067
2018-11-03,1,25776,98151
2018-06-24,1,1342,11095
2018-08-01,2,3111,20927
2018-01-26,2,18736,171718
2018-10-12,2,50293,330100
2018-07-13,1,1815,14714
2018-02-28,1,18293,165053
2018-07-06,1,2376,22517
2018-02-16,2,14075,114651
2018-05-11,1,12576,111606
2018-01-27,2,1215,8288
2018-08-06,3,3455,12674
2018-07-24,1,2700,23444
2018-08-07,1,7485,63913
2018-07-11,3,1780,6432
